Zeit [ms]	Uin A [V]	Uin B [V]
6.940000000	0.001039152	-0.006749050
6.960000000	-0.000907898	-0.017782338
6.980000000	0.002012678	-0.032709726
7.000000000	-0.000258881	-0.045690065
7.020000000	0.001039152	-0.059968437
7.040000000	-0.001556915	-0.071650741
7.060000000	-0.000258881	-0.085280096
7.080000000	-0.001556915	-0.098260435
7.100000000	0.003635220	-0.111565281
7.120000000	-0.000258881	-0.124221112
7.140000000	0.000390136	-0.137850467
7.160000000	0.000065627	-0.150830806
7.180000000	0.000065627	-0.163486636
7.200000000	0.001039152	-0.176466974
7.220000000	0.000065627	-0.189122805
7.240000000	0.000714644	-0.202427652
7.260000000	0.000714644	-0.215732499
7.280000000	0.000390136	-0.228388330
7.300000000	0.000065627	-0.241368669
7.320000000	0.000714644	-0.254349008
7.340000000	0.000065627	-0.267329347
7.360000000	0.001039152	-0.280309687
7.380000000	0.000390136	-0.293614534
7.400000000	0.000714644	-0.306270365
7.420000000	0.000714644	-0.319250705
7.440000000	0.000065627	-0.332231044
7.460000000	0.000714644	-0.344886875
7.480000000	-0.000583390	-0.357867215
7.500000000	0.000390136	-0.370523046
7.520000000	0.000065627	-0.384152403
7.540000000	0.001039152	-0.396483726
7.560000000	0.000714644	-0.409139557
7.580000000	0.000714644	-0.422119897
7.600000000	0.001039152	-0.434775729
7.620000000	0.000714644	-0.447431561
7.640000000	0.000065627	-0.460736409
7.660000000	-0.000258881	-0.473067733
7.680000000	0.001688169	-0.486048073
7.700000000	0.001039152	-0.499028414
7.720000000	0.001039152	-0.511684246
7.740000000	0.000390136	-0.523691061
7.760000000	0.000714644	-0.536671402
7.780000000	0.000714644	-0.549976251
7.800000000	0.001039152	-0.562307575
7.820000000	0.001039152	-0.574638899
7.840000000	0.000714644	-0.586970223
7.860000000	-0.000258881	-0.599626056
7.880000000	0.000714644	-0.611957380
7.900000000	0.000714644	-0.624288704
7.920000000	0.000714644	-0.637269046
7.940000000	-0.000258881	-0.649600370
7.960000000	-0.000258881	-0.661931695
7.980000000	0.002012678	-0.674263019
8.000000000	0.001039152	-0.686269835
8.020000000	-0.000583390	-0.699250177
8.040000000	0.000390136	-0.711256994
8.060000000	0.000714644	-0.723263810
8.080000000	0.000714644	-0.735270627
8.100000000	0.001363661	-0.747277443
8.120000000	0.000714644	-0.759933277
8.140000000	0.000390136	-0.772264602
