Zeit [ms]	Uin A [V]	Uin B [V]
5.610000000	-2.491187668	0.002661695
5.620000000	-2.664151027	0.003959728
5.630000000	-2.843604611	0.005582271
5.640000000	-2.996448476	0.006555796
5.650000000	-3.133715925	0.007529321
5.660000000	-3.263844195	0.008502847
5.670000000	-3.364766637	0.009800881
5.680000000	-3.459847924	0.010774406
5.690000000	-3.533511593	0.012072440
5.700000000	-3.576346858	0.013045965
5.710000000	-3.623400752	0.013370473
5.720000000	-3.645142897	0.014668507
5.730000000	-3.641897801	0.015642033
5.740000000	-3.632811531	0.015966541
5.750000000	-3.597439982	0.016615558
5.760000000	-3.548763543	0.017264575
5.770000000	-3.491649859	0.018238100
5.780000000	-3.403383267	0.018887117
5.790000000	-3.309275517	0.018562609
5.800000000	-3.203485443	0.019536134
5.810000000	-3.069138564	0.019536134
5.820000000	-2.937387785	0.020185151
5.830000000	-2.787464516	0.019860642
5.840000000	-2.623587384	0.019536134
5.850000000	-2.453544615	0.019860642
5.860000000	-2.270846032	0.019536134
5.870000000	-2.080359273	0.019860642
5.880000000	-1.890197064	0.019211626
5.890000000	-1.680239855	0.018887117
5.900000000	-1.481315984	0.018562609
5.910000000	-1.277200010	0.018238100
5.920000000	-1.063024301	0.017264575
5.930000000	-0.854040762	0.016615558
5.940000000	-0.643434708	0.015642033
5.950000000	-0.435424746	0.015317524
5.960000000	-0.225792262	0.014343999
5.970000000	-0.017133321	0.013694982
5.980000000	0.182763879	0.012396948
5.990000000	0.378766969	0.011423423
6.000000000	0.576717104	0.010774406
6.010000000	0.757468289	0.009476372
6.020000000	0.938219475	0.008178338
6.030000000	1.113454019	0.007529321
6.040000000	1.280900364	0.006231288
6.050000000	1.442830072	0.004933254
6.060000000	1.595349041	0.003310712
6.070000000	1.740404322	0.002012678
6.080000000	1.882214527	0.001039152
6.090000000	2.008448331	0.000065627
6.100000000	2.130139024	-0.001556915
6.110000000	2.245988571	-0.002530441
6.120000000	2.347884256	-0.003828474
6.130000000	2.444912320	-0.004802000
6.140000000	2.532854148	-0.006749050
6.150000000	2.612683266	-0.007398067
6.160000000	2.687644760	-0.008371593
6.170000000	2.750923945	-0.010318643
6.180000000	2.805765909	-0.010643152
6.190000000	2.859309840	-0.011616677
6.200000000	2.892409725	-0.012914711
6.210000000	2.923887069	-0.013888236
6.220000000	2.948874238	-0.014537253
6.230000000	2.961530078	-0.015510779
6.240000000	2.971914357	-0.015835287
6.250000000	2.969318287	-0.016808812
6.260000000	2.957960482	-0.017457829
6.270000000	2.944980134	-0.017457829
6.280000000	2.915125334	-0.018106846
6.290000000	2.879753887	-0.018755863
6.300000000	2.841786371	-0.019404880
6.310000000	2.783374811	-0.019404880
6.320000000	2.722691693	-0.019729388
6.330000000	2.652597827	-0.019729388
6.340000000	2.570172638	-0.019729388
6.350000000	2.483528842	-0.019729388
6.360000000	2.382282165	-0.019404880
6.370000000	2.271949254	-0.019080371
6.380000000	2.159020283	-0.018755863
6.390000000	2.024998265	-0.018755863
6.400000000	1.884486086	-0.018755863
6.410000000	1.739755305	-0.017782338
6.420000000	1.573282466	-0.017133321
6.430000000	1.406485127	-0.016159795
6.440000000	1.229628033	-0.015510779
6.450000000	1.035571999	-0.015186270
6.460000000	0.846708102	-0.014212745
6.470000000	0.638049194	-0.013239219
6.480000000	0.422251098	-0.012265694
6.490000000	0.213592181	-0.011292169
6.500000000	-0.018431355	-0.010318643
6.510000000	-0.250130398	-0.009020610
6.520000000	-0.478584378	-0.008371593
6.530000000	-0.716449130	-0.007073559
6.540000000	-0.948472761	-0.006100033
6.550000000	-1.180820937	-0.004477491
6.560000000	-1.419010310	-0.003179457
6.570000000	-1.637404695	-0.002530441
6.580000000	-1.864236355	-0.001232407
6.590000000	-2.084253380	0.000065627
6.600000000	-2.279283266	0.001688169
6.610000000	-2.481452395	0.002661695
6.620000000	-2.665124554	0.004284237
6.630000000	-2.834193843	0.005257762
6.640000000	-2.995150439	0.006231288
6.650000000	-3.129821813	0.007529321
6.660000000	-3.256704988	0.008502847
6.670000000	-3.368011732	0.009800881
6.680000000	-3.444920485	0.010774406
6.690000000	-3.526372382	0.011747931
6.700000000	-3.586731165	0.012721457
6.710000000	-3.617884088	0.013694982
6.720000000	-3.640599762	0.014668507
6.730000000	-3.646116426	0.015642033
6.740000000	-3.628268396	0.015966541
6.750000000	-3.601658607	0.016940066
6.760000000	-3.548439033	0.017264575
6.770000000	-3.487755744	0.017913592
6.780000000	-3.412145024	0.018562609
6.790000000	-3.306354932	0.019211626
6.800000000	-3.202511915	0.019211626
6.810000000	-3.078873844	0.019536134
6.820000000	-2.940632878	0.019536134
6.830000000	-2.789736080	0.019860642
6.840000000	-2.626183457	0.020185151
6.850000000	-2.456140688	0.019536134
6.860000000	-2.278634248	0.019860642
6.870000000	-2.081657309	0.019536134
6.880000000	-1.890846081	0.019536134
6.890000000	-1.692571189	0.019211626
6.900000000	-1.483263037	0.018562609
6.910000000	-1.279471571	0.017913592
6.920000000	-1.069514474	0.017264575
6.930000000	-0.858908391	0.017264575
6.940000000	-0.649275862	0.015966541
6.950000000	-0.436073763	0.015642033
6.960000000	-0.231633415	0.014668507
6.970000000	-0.025246032	0.013694982
6.980000000	0.183412896	0.012721457
6.990000000	0.373574835	0.011747931
7.000000000	0.566981851	0.010774406
7.010000000	0.753898697	0.009800881
7.020000000	0.933676357	0.008178338
7.030000000	1.111506968	0.007204813
7.040000000	1.277006263	0.006231288
7.050000000	1.438286954	0.004933254
7.060000000	1.595349041	0.003310712
7.070000000	1.736510221	0.002337186
7.080000000	1.875724357	0.001039152
7.090000000	2.009421857	-0.000258881
7.100000000	2.125595905	-0.001232407
7.110000000	2.241120942	-0.002854949
7.120000000	2.345937205	-0.003828474
7.130000000	2.440693708	-0.004802000
7.140000000	2.534476691	-0.006100033
7.150000000	2.611709741	-0.007722576
7.160000000	2.684075165	-0.008696101
7.170000000	2.753844523	-0.009669626
7.180000000	2.803818857	-0.010643152
7.190000000	2.853144175	-0.011616677
7.200000000	2.893707760	-0.012590202
7.210000000	2.924211577	-0.013563728
7.220000000	2.947576204	-0.014212745
7.230000000	2.963152621	-0.015186270
7.240000000	2.968993778	-0.015835287
7.250000000	2.972238865	-0.016808812
7.260000000	2.959583026	-0.017782338
